Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,TotalTests,Serious,TotalCasespMp,DeathspMp,TestspMp,date
World,1201453,84810,64688,5801,246258,890507,NA,42324,154,8.3,NA,2020-04-04
China,81639,19,3326,4,76755,1558,NA,331,57,2,NA,2020-04-04
USA,311357,34196,8452,1331,14825,288080,1632955,8206,941,26,4933,2020-04-04
Spain,126168,6969,11947,749,34219,80002,355000,6532,2699,256,7593,2020-04-04
Italy,124632,4805,15362,681,20996,88274,657224,3994,2061,254,10870,2020-04-04
Germany,96092,4933,1444,169,26400,68248,918460,3936,1147,17,10962,2020-04-04
France,89953,7788,7560,1053,15438,66955,224254,6838,1378,116,3436,2020-04-04
Iran,55743,2560,3452,158,19736,32555,186000,4103,664,41,2214,2020-04-04
UK,41903,3735,4313,708,135,37455,183190,163,617,64,2698,2020-04-04
Turkey,23934,3013,501,76,786,22647,161380,1311,284,6,1913,2020-04-04
Switzerland,20505,899,666,75,6415,13424,153440,391,2369,77,17729,2020-04-04
Belgium,18431,1661,1283,140,3247,13901,70000,1245,1590,111,6040,2020-04-04
Netherlands,16627,904,1651,164,250,14726,75415,1360,970,96,4401,2020-04-04
Canada,13912,1537,231,23,2595,11086,317972,120,369,6,8425,2020-04-04
Austria,11781,257,186,18,2507,9088,104134,245,1308,21,11562,2020-04-04
Portugal,10524,638,266,20,75,10183,81087,251,1032,26,7952,2020-04-04
Brazil,10360,1166,445,82,127,9788,54824,296,49,2,258,2020-04-04
S. Korea,10156,94,177,3,6325,3654,455032,55,198,3,8875,2020-04-04
Israel,7851,423,44,4,427,7380,90394,115,907,5,10443,2020-04-04
Sweden,6443,312,373,15,205,5865,36900,379,638,37,3654,2020-04-04
Norway,5550,180,62,3,32,5456,105865,98,1024,11,19528,2020-04-04
Australia,5550,96,30,2,585,4935,286786,85,218,1,11247,2020-04-04
Russia,4731,582,43,9,333,4355,639606,8,32,0.3,4383,2020-04-04
Ireland,4604,331,137,17,25,4442,30213,148,932,28,6119,2020-04-04
Czechia,4472,282,59,6,78,4335,74170,87,418,6,6926,2020-04-04
Chile,4161,424,27,5,528,3606,48613,38,218,1,2543,2020-04-04
Denmark,4077,320,161,22,1283,2633,45270,142,704,28,7816,2020-04-04
Poland,3627,244,79,8,116,3432,72901,50,96,2,1926,2020-04-04
Romania,3613,430,146,13,329,3138,36092,119,188,8,1876,2020-04-04
India,3588,529,99,13,229,3260,116608,NA,3,0.07,84,2020-04-04
Malaysia,3483,150,57,4,915,2511,49570,99,108,2,1532,2020-04-04
Ecuador,3465,97,172,27,100,3193,11309,100,196,10,641,2020-04-04
Japan,3139,204,77,8,514,2548,42882,64,25,0.6,339,2020-04-04
Philippines,3094,76,144,8,57,2893,5530,1,28,1,50,2020-04-04
Pakistan,2818,132,41,1,131,2646,30308,13,13,0.2,137,2020-04-04
Luxembourg,2729,117,31,NA,500,2198,22793,35,4360,50,36412,2020-04-04
Saudi Arabia,2179,140,29,4,420,1730,NA,41,63,0.8,NA,2020-04-04
Indonesia,2092,106,191,10,150,1751,7896,NA,8,0.7,29,2020-04-04
Thailand,2067,89,20,1,674,1373,23669,23,30,0.3,339,2020-04-04
Finland,1882,267,25,5,300,1557,29000,72,340,5,5234,2020-04-04
Panama,1801,128,46,5,13,1742,7333,50,417,11,1700,2020-04-04
Peru,1746,151,73,12,914,759,17841,88,53,2,541,2020-04-04
Mexico,1688,178,60,10,633,995,15668,1,13,0.5,122,2020-04-04
Greece,1673,60,68,5,78,1527,22437,92,161,7,2153,2020-04-04
Serbia,1624,148,44,5,54,1526,6401,89,186,5,733,2020-04-04
South Africa,1585,80,9,NA,95,1481,53937,7,27,0.2,909,2020-04-04
Dominican Republic,1578,90,77,9,17,1484,4542,147,145,7,419,2020-04-04
UAE,1505,241,10,1,125,1370,220000,2,152,1,22244,2020-04-04
Argentina,1451,98,43,1,279,1129,8488,NA,32,1,188,2020-04-04
Iceland,1417,53,4,NA,396,1017,23640,12,4152,12,69276,2020-04-04
Colombia,1406,139,32,7,85,1289,23706,50,28,0.6,466,2020-04-04
Qatar,1325,250,3,NA,109,1213,31951,37,460,1,11090,2020-04-04
Algeria,1251,80,130,25,90,1031,3359,NA,29,3,77,2020-04-04
Ukraine,1225,153,32,5,25,1168,5040,16,28,0.7,115,2020-04-04
Singapore,1189,75,6,1,297,886,39000,24,203,1,6666,2020-04-04
Croatia,1126,47,12,4,119,995,9833,39,274,3,2395,2020-04-04
Egypt,1070,85,71,5,241,758,25000,NA,10,0.7,244,2020-04-04
Estonia,1039,78,13,1,59,967,19091,20,783,10,14392,2020-04-04
Slovenia,977,43,22,2,79,876,27109,31,470,11,13040,2020-04-04
New Zealand,950,82,1,NA,127,822,33116,1,197,0.2,6867,2020-04-04
Morocco,919,128,59,11,66,794,4321,1,25,2,117,2020-04-04
Iraq,878,58,56,2,259,563,NA,NA,22,1,NA,2020-04-04
Hong Kong,862,17,4,NA,173,685,90000,8,115,0.5,12005,2020-04-04
Lithuania,771,75,11,2,7,753,21376,11,283,4,7852,2020-04-04
Armenia,770,34,7,NA,43,720,3994,30,260,2,1348,2020-04-04
Moldova,752,161,12,4,29,711,681,65,186,3,169,2020-04-04
Diamond Princess,712,NA,11,NA,619,82,NA,10,NA,NA,NA,2020-04-04
Bahrain,688,16,4,NA,423,261,39379,3,404,2,23143,2020-04-04
Hungary,678,55,32,6,58,588,19424,17,70,3,2011,2020-04-04
Bosnia and Herzegovina,624,45,21,4,30,573,5349,4,190,6,1630,2020-04-04
Cameroon,555,46,9,1,17,529,NA,NA,21,0.3,NA,2020-04-04
Tunisia,553,58,18,NA,5,530,6485,26,47,2,549,2020-04-04
Kazakhstan,531,67,5,2,36,490,316,6,28,0.3,17,2020-04-04
Azerbaijan,521,78,5,NA,32,484,35000,17,51,0.5,3452,2020-04-04
Lebanon,520,12,17,NA,54,449,9022,27,76,2,1322,2020-04-04
Latvia,509,16,1,NA,1,507,19380,3,270,0.5,10275,2020-04-04
Bulgaria,503,18,17,3,34,452,566,26,72,2,81,2020-04-04
North Macedonia,483,53,17,5,20,446,4920,11,232,8,2362,2020-04-04
Kuwait,479,62,1,1,93,385,NA,17,112,0.2,NA,2020-04-04
Slovakia,471,21,1,NA,10,460,13631,3,86,0.2,2497,2020-04-04
Andorra,466,27,17,1,21,428,NA,12,6031,220,NA,2020-04-04
Belarus,440,89,5,1,53,382,32000,11,47,0.5,3386,2020-04-04
Costa Rica,435,19,2,NA,13,420,4654,13,85,0.4,914,2020-04-04
Cyprus,426,30,9,-2,33,384,10154,11,353,7,8410,2020-04-04
Uruguay,400,14,5,1,93,302,5063,13,115,1,1458,2020-04-04
Taiwan,355,7,5,NA,50,300,36304,NA,15,0.2,1524,2020-04-04
Réunion,334,13,NA,NA,40,294,NA,4,373,NA,NA,2020-04-04
Albania,333,29,20,3,99,214,2247,7,116,7,781,2020-04-04
Jordan,323,13,5,NA,74,244,239,5,32,0.5,23,2020-04-04
Burkina Faso,318,16,16,NA,66,236,NA,NA,15,0.8,NA,2020-04-04
Afghanistan,309,28,7,1,10,292,NA,NA,8,0.2,NA,2020-04-04
Cuba,288,19,6,NA,15,267,3342,11,25,0.5,295,2020-04-04
Oman,277,25,2,1,61,214,NA,3,54,0.4,NA,2020-04-04
Uzbekistan,266,39,2,NA,25,239,NA,8,8,0.06,NA,2020-04-04
Honduras,264,42,15,NA,3,246,NA,10,27,2,NA,2020-04-04
Channel Islands,262,30,5,1,13,244,NA,NA,1507,29,NA,2020-04-04
San Marino,259,8,32,NA,27,200,586,14,7633,943,17270,2020-04-04
Ivory Coast,245,27,1,NA,25,219,NA,NA,9,0.04,NA,2020-04-04
Vietnam,240,1,NA,NA,90,150,75458,3,2,NA,775,2020-04-04
Senegal,219,12,2,1,72,145,195,1,13,0.1,12,2020-04-04
Palestine,217,23,1,NA,21,195,7553,NA,43,0.2,1481,2020-04-04
Nigeria,214,4,4,NA,25,185,4000,2,1,0.02,19,2020-04-04
Malta,213,11,NA,NA,2,211,9703,3,482,NA,21975,2020-04-04
Ghana,205,NA,5,NA,31,169,NA,2,7,0.2,NA,2020-04-04
Montenegro,201,27,2,NA,1,198,1456,4,320,3,2318,2020-04-04
Mauritius,196,10,7,NA,7,182,NA,1,154,6,NA,2020-04-04
Faeroe Islands,181,2,NA,NA,93,88,4800,2,3704,NA,98234,2020-04-04
Sri Lanka,166,7,5,1,27,134,NA,5,8,0.2,NA,2020-04-04
Georgia,162,7,1,1,36,125,NA,6,41,0.3,NA,2020-04-04
Venezuela,155,2,7,NA,52,96,1779,6,5,0.2,63,2020-04-04
DRC,154,6,18,2,3,133,NA,NA,2,0.2,NA,2020-04-04
Martinique,145,2,3,NA,27,115,NA,22,386,8,NA,2020-04-04
Niger,144,24,8,3,NA,136,4012,NA,6,0.3,166,2020-04-04
Kyrgyzstan,144,14,1,NA,9,134,9618,5,22,0.2,1474,2020-04-04
Bolivia,139,7,10,1,1,128,591,3,12,0.9,51,2020-04-04
Brunei,135,1,1,NA,66,68,7801,3,309,2,17832,2020-04-04
Guadeloupe,134,4,7,NA,24,103,NA,14,335,17,NA,2020-04-04
Mayotte,134,6,2,NA,14,118,479,3,491,7,1756,2020-04-04
Kenya,126,4,4,NA,4,118,2201,2,2,0.07,41,2020-04-04
Isle of Man,126,12,1,NA,NA,125,1319,NA,1482,12,15512,2020-04-04
Cambodia,114,NA,NA,NA,50,64,5768,1,7,NA,345,2020-04-04
Guinea,111,38,NA,NA,5,106,NA,NA,8,NA,NA,2020-04-04
Trinidad and Tobago,103,5,6,NA,1,96,736,NA,74,4,526,2020-04-04
Rwanda,102,13,NA,NA,NA,102,NA,NA,8,NA,NA,2020-04-04
Gibraltar,98,3,NA,NA,52,46,1269,NA,2909,NA,37666,2020-04-04
Paraguay,96,4,3,NA,12,81,1289,2,13,0.4,181,2020-04-04
Liechtenstein,77,2,1,1,NA,76,900,NA,2020,26,23605,2020-04-04
Bangladesh,70,9,8,2,30,32,2086,1,0.4,0.05,13,2020-04-04
Madagascar,70,NA,NA,NA,NA,70,NA,6,3,NA,NA,2020-04-04
Monaco,66,2,1,NA,3,62,NA,2,1682,25,NA,2020-04-04
Aruba,64,2,NA,NA,1,63,863,NA,599,NA,8083,2020-04-04
Guatemala,61,11,2,1,15,44,1134,1,3,0.1,63,2020-04-04
French Guiana,61,4,NA,NA,22,39,NA,1,204,NA,NA,2020-04-04
El Salvador,56,10,3,NA,2,51,NA,4,9,0.5,NA,2020-04-04
Jamaica,53,NA,3,NA,7,43,540,NA,18,1,182,2020-04-04
Barbados,52,1,NA,NA,NA,52,382,NA,181,NA,1329,2020-04-04
Djibouti,50,1,NA,NA,8,42,NA,NA,51,NA,NA,2020-04-04
Uganda,48,NA,NA,NA,NA,48,2629,NA,1,NA,57,2020-04-04
Macao,44,2,NA,NA,10,34,NA,NA,68,NA,NA,2020-04-04
Mali,41,2,3,NA,1,37,NA,NA,2,0.1,NA,2020-04-04
Togo,41,1,3,NA,17,21,NA,NA,5,0.4,NA,2020-04-04
French Polynesia,40,1,NA,NA,NA,40,583,1,142,NA,2075,2020-04-04
Zambia,39,NA,1,NA,2,36,619,NA,2,0.05,34,2020-04-04
Ethiopia,38,3,NA,NA,4,34,1222,1,0.3,NA,11,2020-04-04
Bermuda,37,2,NA,NA,14,23,291,NA,594,NA,4673,2020-04-04
Cayman Islands,35,6,1,NA,1,33,319,NA,533,15,4854,2020-04-04
Eritrea,29,7,NA,NA,NA,29,NA,NA,8,NA,NA,2020-04-04
Bahamas,28,4,4,1,NA,24,NA,1,71,10,NA,2020-04-04
Saint Martin,24,2,2,1,5,17,18,6,621,52,466,2020-04-04
Guyana,23,NA,4,NA,NA,19,83,NA,29,5,106,2020-04-04
Sint Maarten,23,NA,4,NA,6,13,82,NA,536,93,1912,2020-04-04
Congo,22,NA,2,NA,2,18,NA,NA,4,0.4,NA,2020-04-04
Gabon,21,NA,1,NA,1,19,NA,NA,9,0.4,NA,2020-04-04
Myanmar,21,1,1,NA,NA,20,NA,NA,0.4,0.02,NA,2020-04-04
Tanzania,20,NA,1,NA,3,16,NA,NA,0.3,0.02,NA,2020-04-04
Haiti,20,2,NA,NA,1,19,200,NA,2,NA,18,2020-04-04
Maldives,19,NA,NA,NA,13,6,NA,NA,35,NA,NA,2020-04-04
Libya,18,1,1,NA,NA,17,131,NA,3,0.1,19,2020-04-04
Guinea-Bissau,18,3,NA,NA,NA,18,NA,NA,9,NA,NA,2020-04-04
New Caledonia,17,NA,NA,NA,1,16,1390,NA,60,NA,4869,2020-04-04
Syria,16,NA,2,NA,2,12,NA,NA,0.9,0.1,NA,2020-04-04
Benin,16,NA,NA,NA,2,14,NA,NA,1,NA,NA,2020-04-04
Equatorial Guinea,16,NA,NA,NA,1,15,NA,NA,11,NA,NA,2020-04-04
Antigua and Barbuda,15,NA,NA,NA,NA,15,40,1,153,NA,408,2020-04-04
Dominica,14,NA,NA,NA,NA,14,255,NA,194,NA,3542,2020-04-04
Mongolia,14,NA,NA,NA,2,12,NA,NA,4,NA,NA,2020-04-04
Namibia,14,NA,NA,NA,3,11,301,NA,6,NA,118,2020-04-04
Saint Lucia,14,1,NA,NA,1,13,NA,NA,76,NA,NA,2020-04-04
Fiji,12,5,NA,NA,NA,12,NA,NA,13,NA,NA,2020-04-04
Grenada,12,NA,NA,NA,NA,12,45,2,107,NA,400,2020-04-04
Curaçao,11,NA,1,NA,5,5,NA,NA,67,6,NA,2020-04-04
Greenland,11,1,NA,NA,3,8,542,NA,194,NA,9547,2020-04-04
Angola,10,2,2,NA,2,6,NA,NA,0.3,0.06,NA,2020-04-04
Sudan,10,NA,2,NA,2,6,NA,NA,0.2,0.05,NA,2020-04-04
Liberia,10,3,1,1,3,6,NA,NA,2,0.2,NA,2020-04-04
Suriname,10,NA,1,NA,NA,9,NA,NA,17,2,NA,2020-04-04
Laos,10,NA,NA,NA,NA,10,437,NA,1,NA,60,2020-04-04
Mozambique,10,NA,NA,NA,1,9,338,NA,0.3,NA,11,2020-04-04
Seychelles,10,NA,NA,NA,NA,10,NA,NA,102,NA,NA,2020-04-04
MS Zaandam,9,NA,2,NA,NA,7,NA,NA,NA,NA,NA,2020-04-04
Zimbabwe,9,NA,1,NA,NA,8,316,NA,0.6,0.07,21,2020-04-04
Nepal,9,3,NA,NA,1,8,1521,NA,0.3,NA,52,2020-04-04
Chad,9,1,NA,NA,NA,9,NA,NA,0.5,NA,NA,2020-04-04
Saint Kitts and Nevis,9,NA,NA,NA,NA,9,113,NA,169,NA,2124,2020-04-04
Eswatini,9,NA,NA,NA,NA,9,NA,NA,8,NA,NA,2020-04-04
CAR,8,NA,NA,NA,NA,8,NA,NA,2,NA,NA,2020-04-04
Cabo Verde,7,1,1,NA,NA,6,NA,NA,13,2,NA,2020-04-04
Vatican City,7,NA,NA,NA,NA,7,NA,NA,8739,NA,NA,2020-04-04
St. Vincent Grenadines,7,NA,NA,NA,1,6,NA,NA,63,NA,NA,2020-04-04
Somalia,7,NA,NA,NA,1,6,NA,NA,0.4,NA,NA,2020-04-04
Mauritania,6,NA,1,NA,2,3,67,NA,1,0.2,14,2020-04-04
Montserrat,6,NA,NA,NA,NA,6,NA,NA,1202,NA,NA,2020-04-04
St. Barth,6,NA,NA,NA,1,5,NA,NA,607,NA,NA,2020-04-04
Nicaragua,5,NA,1,NA,NA,4,NA,NA,0.8,0.2,NA,2020-04-04
Bhutan,5,NA,NA,NA,2,3,NA,NA,6,NA,NA,2020-04-04
Turks and Caicos,5,NA,NA,NA,NA,5,NA,NA,129,NA,NA,2020-04-04
Botswana,4,NA,1,NA,NA,3,175,NA,2,0.4,74,2020-04-04
Gambia,4,NA,1,NA,2,1,NA,NA,2,0.4,NA,2020-04-04
Belize,4,NA,NA,NA,NA,4,25,NA,10,NA,63,2020-04-04
Malawi,4,1,NA,NA,NA,4,NA,NA,0.2,NA,NA,2020-04-04
Sierra Leone,4,2,NA,NA,NA,4,2,NA,0.5,NA,0.3,2020-04-04
Western Sahara,4,4,NA,NA,NA,4,NA,NA,7,NA,NA,2020-04-04
Anguilla,3,NA,NA,NA,NA,3,NA,NA,200,NA,NA,2020-04-04
British Virgin Islands,3,NA,NA,NA,NA,3,NA,NA,99,NA,NA,2020-04-04
Burundi,3,NA,NA,NA,NA,3,2,NA,0.3,NA,0.2,2020-04-04
Caribbean Netherlands,2,NA,NA,NA,NA,2,10,NA,76,NA,381,2020-04-04
Falkland Islands,1,NA,NA,NA,NA,1,NA,NA,287,NA,NA,2020-04-04
Papua New Guinea,1,NA,NA,NA,NA,1,72,NA,0.1,NA,8,2020-04-04
Timor-Leste,1,NA,NA,NA,NA,1,NA,NA,0.8,NA,NA,2020-04-04
Total:,1201453,84811,64688,5801,246258,890507,NA,42324,154.1,8.3,NA,2020-04-04
